"","SHELFMARK","MID","Run","BB","SP","BD","CL","INC","BBID","BBNF","BBF1T","BBF1ID","BBF2T","BBF2ID","BBF3T","BBF3ID","BBF4T","BBF4ID","SPID","SPNF","SPF1T","SPF1ID","SPF2T","SPF2ID","SPF3T","SPF3ID","SPF4T","SPF4ID","SPF5T","SPF5ID","SPF6T","SPF6ID","SPF7T","SPF7ID","SPF8T","SPF8ID","BD1ID","BD2ID","CLP1","CLP1CSR","CLP2","CLP2CSR","BD1BDCLC1ID","BD2BDCLC1ID","BD2CSR1ID","BD1BDCLC2ID","BD2BDCLC2ID","BD2CSR2ID","SR","AR","SIR","VSR","KCR"
"1","Arabica0004","MID1230010003",1,2,3,0,0,10003,"CID1000010",2,"knife-cut recesses","FID10000020","knife-cut recesses","FID10000021",NA,NA,NA,NA,"CID1000009",6,"adhesive recesses","FID10000014","adhesive recesses","FID10000015","sewing recesses","FID10000016","sewing recesses","FID10000017","sewing recesses","FID10000018","sewing recesses","FID10000019",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE
"2","Arabica0012","MID1238010009",1,2,3,8,0,10009,"CID1000032",4,"v-shaped recesses","FID10000044","v-shaped recesses","FID10000045","knife-cut recesses","FID10000052","knife-cut recesses","FID10000053","CID1000031",8,"v-shaped recesses","FID10000044","v-shaped recesses","FID10000045","sewing recesses","FID10000046","sewing recesses","FID10000047","sewing recesses","FID10000048","sewing recesses","FID10000049","sewing recesses","FID10000050","sewing recesses","FID10000051","CID1000033","CID1000034",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE
"3","Arabica0016","MID1229010013",1,2,2,9,0,10013,"CID1000048",4,"sawn-in recesses","FID10000074","sawn-in recesses","FID10000075","knife-cut recesses","FID10000080","knife-cut recesses","FID10000081","CID1000047",6,"sawn-in recesses","FID10000074","sawn-in recesses","FID10000075","sewing recesses","FID10000076","sewing recesses","FID10000077","sewing recesses","FID10000078","sewing recesses","FID10000079",NA,NA,NA,NA,"CID1000049","CID1000050",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE
"4","Arabica0021","MID1230010017",1,2,3,0,0,10017,"CID1000064",2,"sawn-in recesses","FID10000101","sawn-in recesses","FID10000102",NA,NA,NA,NA,"CID1000063",2,"sawn-in recesses","FID10000101","sawn-in recesses","FID10000102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"5","Arabica0022","MID1200010018",1,2,0,0,0,10018,"CID1000065",4,"sawn-in recesses",NA,"sawn-in recesses",NA,"knife-cut recesses","FID10000103","knife-cut recesses","FID10000104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"6","Arabica0024","MID1230010020",1,2,3,0,0,10020,"CID1000071",4,"v-shaped recesses","FID10000113","v-shaped recesses","FID10000114","knife-cut recesses","FID10000119","knife-cut recesses","FID10000120","CID1000070",6,"v-shaped recesses","FID10000113","v-shaped recesses","FID10000114","sewing recesses","FID10000115","sewing recesses","FID10000116","sewing recesses","FID10000117","sewing recesses","FID10000118",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE
"7","Arabica0026","MID1230010022",1,2,3,0,0,10022,"CID1000077",4,"sawn-in recesses","FID10000129","sawn-in recesses","FID10000130","knife-cut recesses","FID10000131","knife-cut recesses","FID10000132","CID1000076",2,"sawn-in recesses","FID10000129","sawn-in recesses","FID10000130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"8","Arabica0029","MID1239310024",1,2,3,9,3,10024,"CID1000083",2,"knife-cut recesses","FID10000141","knife-cut recesses","FID10000142",NA,NA,NA,NA,"CID1000082",4,"sewing recesses","FID10000137","sewing recesses","FID10000138","sewing recesses","FID10000139","sewing recesses","FID10000140",NA,NA,NA,NA,NA,NA,NA,NA,"CID1000084","CID1000085",TRUE,FALSE,FALSE,FALSE,"CID1000086","CID1000086",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE
"9","Arabica0030","MID1234010025",1,2,3,4,0,10025,"CID1000088",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000087",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000089",NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Arabica0031","MID1235010026",1,2,3,5,0,10026,"CID1000091",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000090",3,"adhesive recesses","FID10000143","adhesive recesses","FID10000144","adhesive recesses","FID10000145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000092",NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"11","Arabica0034","MID1219010028",1,2,1,9,0,10028,"CID1000097",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000098","CID1000099",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"12","Arabica0037","MID1209010031",1,2,0,9,0,10031,"CID1000108",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000109","CID1000110",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"13","Arabica0049","MID1230010039",1,2,3,0,0,10039,"CID1000140",2,"knife-cut recesses","FID10000205","knife-cut recesses","FID10000206",NA,NA,NA,NA,"CID1000139",4,"sewing recesses","FID10000201","sewing recesses","FID10000202","sewing recesses","FID10000203","sewing recesses","FID10000204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE
"14","Arabica0053","MID1230010042",1,2,3,0,0,10042,"CID1000150",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000149",4,"sewing recesses","FID10000211","sewing recesses","FID10000212","sewing recesses","FID10000213","sewing recesses","FID10000214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"15","Arabica0062","MID1219010048",1,2,1,9,0,10048,"CID1000171",4,"v-shaped recesses",NA,"v-shaped recesses",NA,"knife-cut recesses","FID10000244","knife-cut recesses","FID10000245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000172","CID1000173",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE
"16","Arabica0067","MID1233010052",1,2,3,3,0,10052,"CID1000187",2,"sawn-in recesses","FID10000263","sawn-in recesses","FID10000264",NA,NA,NA,NA,"CID1000186",8,"sawn-in recesses","FID10000263","sawn-in recesses","FID10000264","adhesive recesses","FID10000265","adhesive recesses","FID10000266","sewing recesses","FID10000267","sewing recesses","FID10000268","sewing recesses","FID10000269","sewing recesses","FID10000270",NA,"CID1000188",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
"17","Arabica0068","MID1219010053",1,2,1,9,0,10053,"CID1000189",4,"sawn-in recesses",NA,"sawn-in recesses",NA,"knife-cut recesses","FID10000271","knife-cut recesses","FID10000272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000190","CID1000191",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"18","Arabica0074","MID1230010058",1,2,3,0,0,10058,"CID1000209",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000208",6,"sewing recesses","FID10000293","sewing recesses","FID10000294","sewing recesses","FID10000295","sewing recesses","FID10000296","sewing recesses","FID10000297","sewing recesses","FID10000298",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"19","Arabica0076","MID1231010060",1,2,3,1,0,10060,"CID1000215",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000214",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"20","Arabica0080","MID1209010064",1,2,0,9,0,10064,"CID1000228",2,"v-shaped recesses",NA,"v-shaped recesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000229","CID1000230",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
"21","Arabica0084","MID1200010067",1,2,0,0,0,10067,"CID1000239",4,"sawn-in recesses",NA,"sawn-in recesses",NA,"knife-cut recesses","FID10000325","knife-cut recesses","FID10000326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"22","Arabica0087","MID1239310069",1,2,3,9,3,10069,"CID1000245",2,"v-shaped recesses","FID10000331","v-shaped recesses","FID10000332",NA,NA,NA,NA,"CID1000244",2,"v-shaped recesses","FID10000331","v-shaped recesses","FID10000332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000246","CID1000247",TRUE,FALSE,FALSE,FALSE,"CID1000248","CID1000248",NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
"23","Arabica0094","MID1230010075",1,2,3,0,0,10075,"CID1000270",2,"v-shaped recesses","FID10000354","v-shaped recesses","FID10000355",NA,NA,NA,NA,"CID1000269",2,"v-shaped recesses","FID10000354","v-shaped recesses","FID10000355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
"24","Arabica0102","MID1209010082",1,2,0,9,0,10082,"CID1000295",2,"v-shaped recesses",NA,"v-shaped recesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000296","CID1000297",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
"25","Arabica0105","MID1230010084",1,2,3,0,0,10084,"CID1000303",4,"v-shaped recesses","FID10000380","v-shaped recesses","FID10000381","knife-cut recesses","FID10000384","knife-cut recesses","FID10000385","CID1000302",4,"v-shaped recesses","FID10000380","v-shaped recesses","FID10000381","adhesive recesses","FID10000382","adhesive recesses","FID10000383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
"26","Arabica0119","MID1239310095",1,2,3,9,3,10095,"CID1000345",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000344",3,"adhesive recesses","FID10000443","adhesive recesses","FID10000444","adhesive recesses","FID10000445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000346","CID1000347",TRUE,FALSE,FALSE,FALSE,"CID1000348","CID1000348",NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"27","Arabica0120","MID1230010096",1,2,3,0,0,10096,"CID1000350",2,"knife-cut recesses","FID10000450","knife-cut recesses","FID10000451",NA,NA,NA,NA,"CID1000349",4,"sewing recesses","FID10000446","sewing recesses","FID10000447","sewing recesses","FID10000448","sewing recesses","FID10000449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE
"28","Arabica0126","MID1230010099",1,2,3,0,0,10099,"CID1000360",2,"sawn-in recesses","FID10000460","sawn-in recesses","FID10000461",NA,NA,NA,NA,"CID1000359",2,"sawn-in recesses","FID10000460","sawn-in recesses","FID10000461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"29","Arabica0137","MID1230010106",1,2,3,0,0,10106,"CID1000386",2,"knife-cut recesses","FID10000491","knife-cut recesses","FID10000492",NA,NA,NA,NA,"CID1000385",6,"adhesive recesses","FID10000485","adhesive recesses","FID10000486","sewing recesses","FID10000487","sewing recesses","FID10000488","sewing recesses","FID10000489","sewing recesses","FID10000490",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE
"30","Arabica0147","MID1230010115",1,2,3,0,0,10115,"CID1000420",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000419",2,"adhesive recesses","FID10000537","adhesive recesses","FID10000538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"31","Arabica0148","MID1239310116",1,2,3,9,3,10116,"CID1000422",4,"sawn-in recesses","FID10000539","sawn-in recesses","FID10000540","knife-cut recesses","FID10000541","knife-cut recesses","FID10000542","CID1000421",2,"sawn-in recesses","FID10000539","sawn-in recesses","FID10000540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000423","CID1000424",TRUE,FALSE,FALSE,FALSE,"CID1000425","CID1000425",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"32","Arabica0149","MID1239310117",1,2,3,9,3,10117,"CID1000427",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000426",4,"sewing recesses","FID10000543","sewing recesses","FID10000544","sewing recesses","FID10000545","sewing recesses","FID10000546",NA,NA,NA,NA,NA,NA,NA,NA,"CID1000428","CID1000429",TRUE,FALSE,FALSE,FALSE,"CID1000430","CID1000430",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"33","Arabica0178","MID1231010137",1,2,3,1,0,10137,"CID1000508",2,"knife-cut recesses","FID10000647","knife-cut recesses","FID10000648",NA,NA,NA,NA,"CID1000507",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"34","Arabica0183","MID1209010140",1,2,0,9,0,10140,"CID1000517",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000518","CID1000519",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"35","Arabica0187","MID1231010144",1,2,3,1,0,10144,"CID1000533",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000532",6,"sewing recesses","FID10000679","sewing recesses","FID10000680","sewing recesses","FID10000681","sewing recesses","FID10000682","sewing recesses","FID10000683","sewing recesses","FID10000684",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"36","Arabica0190","MID1230010146",1,2,3,0,0,10146,"CID1000539",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000538",6,"adhesive recesses","FID10000691","adhesive recesses","FID10000692","sewing recesses","FID10000693","sewing recesses","FID10000694","sewing recesses","FID10000695","sewing recesses","FID10000696",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE
"37","Arabica0194","MID1239310149",1,2,3,9,3,10149,"CID1000549",2,"knife-cut recesses","FID10000709","knife-cut recesses","FID10000710",NA,NA,NA,NA,"CID1000548",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000550","CID1000551",TRUE,FALSE,FALSE,FALSE,"CID1000552","CID1000552",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"38","Arabica0198","MID1230010152",1,2,3,0,0,10152,"CID1000562",2,"sawn-in recesses","FID10000721","sawn-in recesses","FID10000722",NA,NA,NA,NA,"CID1000561",2,"sawn-in recesses","FID10000721","sawn-in recesses","FID10000722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"39","Arabica0207","MID1209010157",1,2,0,9,0,10157,"CID1000579",2,"knife-cut recesses","FID10000743","knife-cut recesses","FID10000744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000580","CID1000581",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"40","Arabica0213","MID1230010163",1,2,3,0,0,10163,"CID1000603",2,"sawn-in recesses","FID10000775","sawn-in recesses","FID10000776",NA,NA,NA,NA,"CID1000602",2,"sawn-in recesses","FID10000775","sawn-in recesses","FID10000776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"41","Arabica0217","MID1230010166",1,2,3,0,0,10166,"CID1000613",2,"v-shaped recesses","FID10000787","v-shaped recesses","FID10000788",NA,NA,NA,NA,"CID1000612",6,"v-shaped recesses","FID10000787","v-shaped recesses","FID10000788","sewing recesses","FID10000789","sewing recesses","FID10000790","sewing recesses","FID10000791","sewing recesses","FID10000792",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE
"42","Arabica0218","MID1209010167",1,2,0,9,0,10167,"CID1000614",4,"v-shaped recesses",NA,"v-shaped recesses",NA,"knife-cut recesses","FID10000793","knife-cut recesses","FID10000794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000615","CID1000616",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE
"43","Arabica0221","MID1230010169",1,2,3,0,0,10169,"CID1000622",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000621",6,"sewing recesses","FID10000799","sewing recesses","FID10000800","sewing recesses","FID10000801","sewing recesses","FID10000802","sewing recesses","FID10000803","sewing recesses","FID10000804",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"44","Arabica0231","MID1230010176",1,2,3,0,0,10176,"CID1000648",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000647",6,"adhesive recesses","FID10000835","adhesive recesses","FID10000836","sewing recesses","FID10000837","sewing recesses","FID10000838","sewing recesses","FID10000839","sewing recesses","FID10000840",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE
"45","Arabica0244","MID1230010184",1,2,3,0,0,10184,"CID1000678",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000677",3,"adhesive recesses","FID10000873","adhesive recesses","FID10000874","adhesive recesses","FID10000875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"46","Arabica0246","MID1230010186",1,2,3,0,0,10186,"CID1000684",2,"knife-cut recesses","FID10000882","knife-cut recesses","FID10000883",NA,NA,NA,NA,"CID1000683",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"47","Arabica0253","MID1230010192",1,2,3,0,0,10192,"CID1000706",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000705",6,"sewing recesses","FID10000908","sewing recesses","FID10000909","sewing recesses","FID10000910","sewing recesses","FID10000911","sewing recesses","FID10000912","sewing recesses","FID10000913",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"48","Arabica0257","MID1230010195",1,2,3,0,0,10195,"CID1000716",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000715",4,"sewing recesses","FID10000924","sewing recesses","FID10000925","sewing recesses","FID10000926","sewing recesses","FID10000927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"49","Arabica0260","MID1230010198",1,2,3,0,0,10198,"CID1000726",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000725",3,"adhesive recesses","FID10000938","adhesive recesses","FID10000939","adhesive recesses","FID10000940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"50","Arabica0261","MID1209010199",1,2,0,9,0,10199,"CID1000727",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000728","CID1000729",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"51","Arabica0262","MID1210010200",1,2,1,0,0,10200,"CID1000730",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"52","Arabica0265","MID1238010202",1,2,3,8,0,10202,"CID1000736",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000735",3,"adhesive recesses","FID10000945","adhesive recesses","FID10000946","adhesive recesses","FID10000947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000737","CID1000738",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"53","Arabica0274","MID1230010208",1,2,3,0,0,10208,"CID1000760",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000759",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"54","Arabica0280","MID1231010213",1,2,3,1,0,10213,"CID1000778",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000777",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"55","Arabica0286","MID1230010217",1,2,3,0,0,10217,"CID1000792",4,"sawn-in recesses","FID10001008","sawn-in recesses","FID10001009","knife-cut recesses","FID10001016","knife-cut recesses","FID10001017","CID1000791",8,"sawn-in recesses","FID10001008","sawn-in recesses","FID10001009","sewing recesses","FID10001010","sewing recesses","FID10001011","sewing recesses","FID10001012","sewing recesses","FID10001013","sewing recesses","FID10001014","sewing recesses","FID10001015",NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE
"56","Arabica0288","MID1209010218",1,2,0,9,0,10218,"CID1000793",4,"sawn-in recesses",NA,"sawn-in recesses",NA,"knife-cut recesses","FID10001018","knife-cut recesses","FID10001019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000794","CID1000795",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"57","Arabica0295","MID1234010223",1,2,3,4,0,10223,"CID1000813",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000812",6,"sewing recesses","FID10001038","sewing recesses","FID10001039","sewing recesses","FID10001040","sewing recesses","FID10001041","sewing recesses","FID10001042","sewing recesses","FID10001043",NA,NA,NA,NA,"CID1000814",NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"58","Arabica0301","MID1237010228",1,2,3,7,0,10228,"CID1000832",2,"sawn-in recesses","FID10001059","sawn-in recesses","FID10001060",NA,NA,NA,NA,"CID1000831",2,"sawn-in recesses","FID10001059","sawn-in recesses","FID10001060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000833","CID1000834",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"59","Arabica0307","MID1233010232",1,2,3,3,0,10232,"CID1000848",2,"sawn-in recesses","FID10001075","sawn-in recesses","FID10001076",NA,NA,NA,NA,"CID1000847",8,"sawn-in recesses","FID10001075","sawn-in recesses","FID10001076","sewing recesses","FID10001077","sewing recesses","FID10001078","sewing recesses","FID10001079","sewing recesses","FID10001080","sewing recesses","FID10001081","sewing recesses","FID10001082",NA,"CID1000849",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE
