"","SHELFMARK","MID","Run","BB","SP","BD","CL","INC","BBID","BBNF","BBF1T","BBF1ID","BBF2T","BBF2ID","BBF3T","BBF3ID","BBF4T","BBF4ID","SPID","SPNF","SPF1T","SPF1ID","SPF2T","SPF2ID","SPF3T","SPF3ID","SPF4T","SPF4ID","SPF5T","SPF5ID","SPF6T","SPF6ID","SPF7T","SPF7ID","SPF8T","SPF8ID","BD1ID","BD2ID","CLP1","CLP1CSR","CLP2","CLP2CSR","BD1BDCLC1ID","BD2BDCLC1ID","BD2CSR1ID","BD1BDCLC2ID","BD2BDCLC2ID","BD2CSR2ID","SR","AR","SIR","VSR","KCR"
"715","Syriac0115","MID1230013083",1,2,3,0,0,13083,"CID1011581",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011580",6,"adhesive recesses","FID10013980","adhesive recesses","FID10013981","sewing recesses","FID10013982","sewing recesses","FID10013983","sewing recesses","FID10013984","sewing recesses","FID10013985",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE
"716","Syriac0118","MID1237013085",1,2,3,7,0,13085,"CID1011587",2,"knife-cut recesses","FID10013992","knife-cut recesses","FID10013993",NA,NA,NA,NA,"CID1011586",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011588","CID1011589",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"717","Syriac0127","MID1230013093",1,2,3,0,0,13093,"CID1011619",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011618",4,"sewing recesses","FID10014023","sewing recesses","FID10014024","sewing recesses","FID10014025","sewing recesses","FID10014026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"718","Syriac0132","MID1209013097",1,2,0,9,0,13097,"CID1011632",2,"knife-cut recesses","FID10014043","knife-cut recesses","FID10014044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011633","CID1011634",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"719","Syriac0151","MID1200013112",1,2,0,0,0,13112,"CID1011691",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"720","Syriac0152","MID1230013113",1,2,3,0,0,13113,"CID1011693",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011692",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"721","Syriac0154","MID1236013115",1,2,3,6,0,13115,"CID1011699",4,"v-shaped recesses","FID10014101","v-shaped recesses","FID10014102","knife-cut recesses","FID10014103","knife-cut recesses","FID10014104","CID1011698",2,"v-shaped recesses","FID10014101","v-shaped recesses","FID10014102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011700","CID1011701",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE
"722","Syriac0156","MID1239913117",1,2,3,9,9,13117,"CID1011707",2,"knife-cut recesses","FID10014112","knife-cut recesses","FID10014113",NA,NA,NA,NA,"CID1011706",4,"sewing recesses","FID10014108","sewing recesses","FID10014109","sewing recesses","FID10014110","sewing recesses","FID10014111",NA,NA,NA,NA,NA,NA,NA,NA,"CID1011708","CID1011709",TRUE,FALSE,TRUE,FALSE,"CID1011710","CID1011710",NA,"CID1011711","CID1011711",NA,TRUE,FALSE,FALSE,FALSE,TRUE
"723","Syriac0157","MID1230013118",1,2,3,0,0,13118,"CID1011713",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011712",4,"sewing recesses","FID10014114","sewing recesses","FID10014115","sewing recesses","FID10014116","sewing recesses","FID10014117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"724","Syriac0160","MID1209013120",1,2,0,9,0,13120,"CID1011718",4,"v-shaped recesses",NA,"v-shaped recesses",NA,"knife-cut recesses","FID10014120","knife-cut recesses","FID10014121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011719","CID1011720",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE
